id,status,link_id,user_id,ip,user_agent,country,referer_domain,referer,created
331,0,947995,3,123.123,xyz browser,IN,$mynewsmedia.co,,03-04-22 18:55
332,0,10607576,227602,184.168.102.151,null,SG,,,03-04-22 18:57
333,0,10607576,227602,184.168.102.151,null,SG,,,03-04-22 18:57
334,0,10607576,227602,184.168.102.151,null,SG,,,03-04-22 18:57
335,0,10607576,227602,184.168.102.151,null,SG,,,03-04-22 18:57
336,0,10607576,227602,184.168.102.151,null,SG,,,03-04-22 18:58
337,4,10607576,227602,184.168.102.151,null,SG,,,03-04-22 18:58
338,0,240737,71215,2a01:e0a:2b6:b130:186e:d625:37a5:39cd,WinHttp-Autoproxy-Service/5.1,FR,,,03-04-22 19:02
339,0,240737,71215,2a01:e0a:2b6:b130:186e:d625:37a5:39cd,WinHttp-Autoproxy-Service/5.1,FR,,,03-04-22 19:02
340,0,240737,71215,2a01:e0a:2b6:b130:186e:d625:37a5:39cd,WinHttp-Autoproxy-Service/5.1,FR,,,03-04-22 19:04
341,0,7518856,606887,66.249.88.57,Google,US,,,03-04-22 19:11
342,0,7518816,606887,66.249.88.44,Google,US,,,03-04-22 19:11
343,0,7520047,606887,66.249.88.46,Google,US,,,03-04-22 19:11
344,0,7518829,606887,66.249.88.44,Google,US,,,03-04-22 19:11
345,3,7519820,606887,66.249.88.56,Google,US,,,03-04-22 19:11
346,0,7519810,606887,66.249.88.57,Google,US,,,03-04-22 19:11
347,0,7518852,606887,66.249.88.44,Google,US,,,03-04-22 19:11
348,0,7519839,606887,66.249.88.57,Google,US,,,03-04-22 19:11
349,0,7520055,606887,66.249.88.55,Google,US,,,03-04-22 19:11
350,0,7518866,606887,66.249.88.56,Google,US,,,03-04-22 19:11
351,0,7520061,606887,66.249.88.56,Google,US,,,03-04-22 19:11
352,4,7518840,606887,66.249.88.46,Google,US,,,03-04-22 19:11
353,0,7518818,606887,66.249.88.42,Google,US,,,03-04-22 19:11
354,0,7518861,606887,66.249.88.55,Google,US,,,03-04-22 19:11
355,0,7519875,606887,66.249.88.57,Google,US,,,03-04-22 19:11
356,0,11306835,744736,2600:4c00:200:221::2,null,US,,,03-04-22 19:12
357,4,11291265,704616,184.168.102.151,null,SG,,,03-04-22 19:15
358,0,11291265,704616,184.168.102.151,null,SG,,,03-04-22 19:15
359,0,11291265,704616,184.168.102.151,null,SG,,,03-04-22 19:16
360,0,11291265,704616,184.168.102.151,null,SG,,,03-04-22 19:16
361,0,11291265,704616,184.168.102.151,null,SG,,,03-04-22 19:16
362,0,11291265,704616,184.168.102.151,null,SG,,,03-04-22 19:16
363,0,240737,71215,2a01:e0a:2b6:b130:186e:d625:37a5:39cd,WinHttp-Autoproxy-Service/5.1,FR,,,03-04-22 19:16
364,4,11291265,704616,184.168.102.151,null,SG,,,03-04-22 19:16
365,4,11291265,704616,184.168.102.151,null,SG,,,03-04-22 19:16
366,0,11291265,704616,184.168.102.151,null,SG,,,03-04-22 19:16
367,0,11291265,704616,184.168.102.151,null,SG,,,03-04-22 19:17
368,0,11291265,704616,184.168.102.151,null,SG,,,03-04-22 19:17
369,0,240737,71215,2a01:e0a:2b6:b130:186e:d625:37a5:39cd,WinHttp-Autoproxy-Service/5.1,FR,,,03-04-22 19:18
370,0,11191451,737762,184.168.102.151,null,SG,,,03-04-22 19:20
371,0,4734574,262067,34.233.58.209,help@dataminr.com,US,,,03-04-22 19:23
372,0,4734574,262067,34.233.208.215,help@dataminr.com,US,,,03-04-22 19:23
373,0,4166398,262067,34.233.208.215,help@dataminr.com,US,,,03-04-22 19:23
374,0,4166398,262067,34.233.58.209,help@dataminr.com,US,,,03-04-22 19:23
375,4,11191451,737762,184.168.102.151,null,SG,,,03-04-22 19:23
